section,parent_index,case_id,group,family,allocated_images,parent_row_sha256,state,universal_lower,universal_upper,attained_lower,attained_upper
primary_rows,2972,all-64,primary,current_partial,64,70b85ae50a8441308ef1b62e73b45f58dfb1e5fa762f3570a3dbcc185fdcf41e,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,2979,all-64,primary,current_partial,64,fe9c44b0ff47ad4b5a1536e0b9b26140f95682fdac8e75b8af0fcff5901c4f53,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,2986,all-64,primary,current_partial,64,dcc6bd836c2440df35b9ae45463c2ac08a7994bd710b05666c52f5a78cd8f468,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,2993,all-64,primary,current_partial,64,623e24f8f1cb5486c8d4823836c2bde3ee821b86ea6eb2e9e326d8c4061d92b3,same_presence_opposite_decisions,-7/32,1/16,-7/32,1/16
primary_rows,3000,all-64,primary,current_partial,64,56731c0789be4ded5ff49291cc1b2338c817f1073abcbec43678d56c3e69873e,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,3007,all-64,primary,current_partial,64,ba20e5d7072cdd2c1ca95a05d989cdedb210408804b83f32f79b99d1f96dd857,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,3014,all-64,primary,current_partial,64,19d50797ff2976d837d468885dca302935b4775b59083d5dd971483a4e01bb61,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,3021,all-64,primary,current_partial,64,3bca52860d31fafaba830bc77fe1f05c99591f0b98f96ac984dcc7ffef23de3d,same_presence_opposite_decisions,-7/32,1/16,-7/32,1/16
primary_rows,3028,all-64,primary,current_partial,64,3740dde45549613a221c8524e39c1706c721f2be2ca4257c57f68daf235544f7,same_presence_opposite_decisions,-13/64,5/64,-13/64,5/64
primary_rows,3035,all-64,primary,current_partial,64,9c30a0244bc8b8e59ac20f13581fbaebe531687b0bdea57702883a0ab2189d7c,same_presence_opposite_decisions,-7/32,1/16,-7/32,1/16
primary_rows,3042,all-64,primary,current_partial,64,eb44cbefabfb0ce6f9c93893fcd843ce4ca066198f4242ee54a92d48480363e5,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,3049,all-64,primary,current_partial,64,4e77e309442007da886d2e78bc1bacf8cbf214d0f40dc27b615fa14144d9851c,same_presence_opposite_decisions,-7/32,1/32,-7/32,1/32
primary_rows,3056,all-64,primary,current_partial,64,ec3e0caae5e60355abaf484dd08ae37530c94191fa0719391ba2438e4fe088a1,same_presence_opposite_decisions,-15/64,1/64,-15/64,1/64
primary_rows,3070,all-64,primary,current_partial,64,0df623760a402c0d88ef445cd4f058d19482a41c67a1a8cdabefd07d05183b71,same_presence_opposite_decisions,-13/64,1/64,-13/64,1/64
primary_rows,3182,all-64,primary,current_partial,64,d3503b541eaf2e1879375ccd48c3333dadf40dd56b060a45a76b8090ef763068,same_presence_opposite_decisions,-5/64,1/64,-5/64,1/64
primary_rows,3196,all-64,primary,current_partial,64,31d0e27ca7bb4a1fe424686ee27fc9f1c89e0f8abad04feabd75f8dd199faf61,same_presence_opposite_decisions,-5/64,1/64,-5/64,1/64
primary_rows,3203,all-64,primary,current_partial,64,6994ca55e48e0a107c1111f777ff1f50703685c5c6fb334efae5c3a7ace9a66e,same_presence_opposite_decisions,-1/16,1/32,-1/16,1/32
primary_rows,3210,all-64,primary,current_partial,64,c32e9af7b03d2d86398735c7f502e8d1d7f014332fc3defa772256937a7f9f13,same_presence_opposite_decisions,-3/64,3/64,-3/64,3/64
primary_rows,3217,all-64,primary,current_partial,64,6895a993875eac4d33d1428a513ae88df9c94a0b21a5b17561c892f24b585549,same_presence_opposite_decisions,-1/16,1/32,-1/16,1/32
primary_rows,3224,all-64,primary,current_partial,64,6bbe2e40a0c9e486a2dff9577394ec1c7067b3090df1f0aa6db1b9fa6feb9a52,same_presence_opposite_decisions,-3/64,3/64,-3/64,3/64
primary_rows,3231,all-64,primary,current_partial,64,dab7c385f540f6a8e7f95b01c8bee77731ce6800724aa8e779f8efa0c135fe2b,same_presence_opposite_decisions,-1/32,1/32,-1/32,1/32
primary_rows,3238,all-64,primary,current_partial,64,4bc29fc72ed59a234ba0abbb6e53c6e16ff1b5c6813e5a95c4dae4a68b18a294,same_presence_opposite_decisions,-1/64,3/64,-1/64,3/64
primary_rows,3245,all-64,primary,current_partial,64,8523afe25fa4e5ed0e165f2e492a91005a601ccc4eef0ccafef98e75d51a899a,same_presence_opposite_decisions,0,1/16,0,1/16
primary_rows,3252,all-64,primary,current_partial,64,48363c24a0027b7705e0d84a205ac8826d91cf247051c34abee6fb400f5ed32d,same_presence_opposite_decisions,-1/64,3/64,-1/64,3/64
primary_rows,3259,all-64,primary,current_partial,64,7efb6cc5edc31d5bb30287a1d2ec7ed5bdcbac20f87c1f2043d766b9b4739c64,same_presence_opposite_decisions,0,1/32,0,1/32
primary_rows,3329,all-64,primary,current_partial,64,c50163ac5f746f60db20ab8944c9ae3c803196bd96ca1f45f3fb3c63ce0b185c,same_presence_opposite_decisions,0,1/32,0,1/32
primary_rows,3336,all-64,primary,current_partial,64,4f24fb6967bc844c8ce4f30e178cc7c224275e9213e822532b26ac585173f0ad,same_presence_opposite_decisions,-1/64,1/64,-1/64,1/64
primary_rows,3350,all-64,primary,current_partial,64,ba3b2b6dbea9aa1b248a0bc44aebac8bba5fa9f19bf6e09aaf68283417617d2f,same_presence_opposite_decisions,-1/64,1/64,-1/64,1/64
primary_rows,3364,all-64,primary,current_partial,64,9753f75c9d64f5c85167eb849d872a86fb960c8f7462e72eaa0a63e1f63b2b4d,same_presence_opposite_decisions,-1/64,1/64,-1/64,1/64
primary_rows,3371,all-64,primary,current_partial,64,1f200195be0cbb131ea84bfbd6b06940821ec069217164835a785a474d2c7af2,same_presence_opposite_decisions,0,1/32,0,1/32
