false_positive_budget,old_state,new_state,old_minimum_misses,new_minimum_misses,old_attained_cell_ids,new_attained_cell_ids,miss_difference_old_minus_new,comparison
261,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
262,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
263,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
264,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
265,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
266,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
267,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
268,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
269,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
270,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
271,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
272,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
273,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
274,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
275,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
276,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
277,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
278,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
279,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
280,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
281,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
282,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
283,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
284,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
285,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
286,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
287,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
288,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
289,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
290,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
291,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
292,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
293,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
294,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
295,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
296,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
297,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
