cell_id,threshold_left,threshold_right,left_closed,right_closed,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,11/32,15/32,11/32,15/32
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-13/16,11/8,-1/2,15/16
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,25/64,25/64,25/64,25/64
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-99/64,165/64,-91/64,155/64
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,21/64,29/64,21/64,29/64
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-53/64,87/64,-33/64,59/64
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0022,6791350245475769/25000000000000000,27236825227737427/100000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,3/8,3/8,3/8,3/8
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-25/16,41/16,-45/32,77/32
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,5/16,7/16,5/16,7/16
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-27/32,43/32,-1/2,29/32
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0023,27236825227737427/100000000000000000,13669760525226593/50000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,23/64,23/64,23/64,23/64
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-101/64,163/64,-91/64,153/64
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,19/64,27/64,19/64,27/64
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-55/64,85/64,-33/64,57/64
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0024,13669760525226593/50000000000000000,343470424413681/1250000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
