population,arm,order,probability,exact_stop,exact_decision,stat_stop,stat_decision,stat_reason,e_lower_at_stop,e_upper_at_stop,lower_ever_crossed,upper_ever_crossed
point_positive,uniform,230514,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,230541,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231045,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231054,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231405,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231450,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231504,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,231540,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234015,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234051,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234105,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234150,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234501,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,234510,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235014,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235041,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235104,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235140,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235401,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,235410,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240135,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240153,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240315,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240351,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240513,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,240531,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241035,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241053,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241305,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241350,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241503,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,241530,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,243015,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,243051,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,243105,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,243150,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,243501,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
